name,prompt,negative_prompt
None,"",
Agnes Martin,"art by Agnes Martin",
Akos Major,"art by Akos Major",
Alasdair McLellan,"art by Alasdair McLellan",
Alberto Seveso,"art by Alberto Seveso",
Alejandro Jodorowsky,"art by Alejandro Jodorowsky",
Alessio Albi,"art by Alessio Albi",
Alex Howitt,"art by Alex Howitt",
Alex Timmermans,"art by Alex Timmermans",
Alfred stieglitz,"art by Alfred stieglitz",
Alvin Langdon Coburn,"art by Alvin Langdon Coburn",
Andreas Franke,"art by Andreas Franke",
Ando Fuchs,"art by Ando Fuchs",
Ann Veronica Janssens,"art by Ann Veronica Janssens",
Anne Truitt,"art by Anne Truitt",
Annie Leibovitz,"art by Annie Leibovitz",
Ansel adams,"art by Ansel adams",
Anton Corbijn,"art by Anton Corbijn",
Antonio Mora,"art by Antonio Mora",
Ara Guler,"art by Ara Guler",
August sander,"art by August sander",
Berndnaut Smilde,"art by Berndnaut Smilde",
Bettina Rheims,"art by Bettina Rheims",
Bill Durgin,"art by Bill Durgin",
Bill Henson,"art by Bill Henson",
Bill Viola,"art by Bill Viola",
Bob Orsillo,"art by Bob Orsillo",
Brandon Woelfel,"art by Brandon Woelfel",
Brett Weston,"art by Brett Weston",
Brian Skerry,"art by Brian Skerry",
Carsten Nicolai,"art by Carsten Nicolai",
Chris Friel,"art by Chris Friel",
Christian Coigny,"art by Christian Coigny",
Christophe Jacrot,"art by Christophe Jacrot",
Cindy Sherman,"art by cindy sherman",
Daido Moriyama,"art by Daido Moriyama",
Dan Witz,"art by Dan Witz",
Darren Aronofsky,"art by Darren Aronofsky",
David Fincher,"art by David Fincher",
David LaChapelle,"art by David LaChapelle",
David Mould,"art by David Mould",
David Sims,"art by David Sims",
Deborah Turbeville,"art by Deborah Turbeville",
Denis Villeneuve,"art by Denis Villeneuve",
Diane Arbus,"art by Diane Arbus",
Ebru Sidar,"art by Ebru Sidar",
Ed Freeman,"art by Ed Freeman",
Elizabeth Gadd,"art by Elizabeth Gadd",
Ellsworth Kelly,"art by Ellsworth Kelly",
Eric Zener,"art by Eric Zener",
Eugene Atget,"art by Eugene Atget",
Eva Hesse,"art by Eva Hesse",
Felicia Simion,"art by Felicia Simion",
Gabriel Dawe,"art by Gabriel Dawe",
Garry Winogrand,"art by Garry Winogrand",
George Christakis,"art by George Christakis",
George Hurrell,"art by George Hurrell",
Georges Méliès,"art by Georges Méliès",
Germaine Krull,"art by Germaine Krull",
Gregory Crewdson,"art by Gregory Crewdson",
Guido Argentini,"art by Guido Argentini",
Guo Pei,"art by Guo Pei",
Guy Aroch,"art by Guy Aroch",
Haas Brothers,"art by Haas Brothers",
Hans Bellmer,"art by Hans Bellmer",
Harold Edgerton,"art by Harold Edgerton",
Hedi Slimane,"art by Hedi Slimane",
Helmut Newton,"art by Helmut Newton",
Henri Cartier-Bresson,"art by Henri Cartier-Bresson",
Irving Penn,"art by Irving Penn",
James Bidgood,"art by James Bidgood",
Jeff Wall,"art by Jeff Wall",
Joel Meyerowitz,"art by Joel Meyerowitz",
Kim Keever,"art by Kim Keever",
Lars Von Trier,"art by Lars Von Trier",
Lee Friedlander,"art by Lee Friedlander",
Liam Wong,"art by Liam Wong",
Lillian Bassman,"art by Lillian Bassman",
Lois Greenfield,"art by Lois Greenfield",
Magnum Photo,"from Magnum Photo",
Martin Parr,"art by Martin Parr",
Massimo Vitali,"art by Massimo Vitali",
Mat Collishaw,"art by Mat Collishaw",
Melvin Sokolsky,"Melvin Sokolsky",
Michael Kenna,"Michael Kenna",
Michael Shainblum,"Michael Shainblum",
Michal Karcz,"Michal Karcz",
Miko Lagerstedt,"art by Miko Lagerstedt",
Miles Aldridge,"art by Miles Aldridge",
Misha Gordin,"art by Misha Gordin",
Nadar,"art by Nadar",
Nan Goldin,"art by Nan Goldin",
Nathan Wirth,"art by Nathan Wirth",
Nick Knight,"art by Nick Knight",
Oleg Oprisco,"art by Oleg Oprisco",
Oskar Fischinger,"art by Oskar Fischinger",
Paolo Roversi,"art by Paolo Roversi",
Paul Barson,"art by Paul Barson",
Paul Strand,"art by Paul Strand",
Petra Cortright,"art by Petra Cortright",
Peter Coulson,"art by Peter Coulson",
Peter Lindbergh,"art by Peter Lindbergh",
Pierre Huyghe,"art by Pierre Huyghe",
Pierre Pellegrini,"art by Pierre Pellegrini",
Rafael Lozano-Hemmer,"art by Rafael Lozano-Hemmer",
Richard Avedon,"art by Richard Avedon",
Robert Capa,"art by Robert Capa",
Roger Ballen,"art by Roger Ballen",
Sally Mann,"art by Sally Mann",
Shirin Neshat,"art by Shirin Neshat",
Signe Vilstrup,"art by Signe Vilstrup",
Sofia Coppola,"art by Sofia Coppola",
Spike Jonze,"art by Spike Jonze",
Storm Thorgerson,"art by Storm Thorgerson",
Tamas Dezso,"art by Tamas Dezso",
Tim walker,"art by Tim walker",
Todd Hido,"art by Todd Hido",
Tyler Shields,"art by Tyler Shields",
Vanessa Beecroft,"art by Vanessa Beecroft",
Vija Celmins,"art by Vija Celmins",
Vincent Peters,"art by Vincent Peters",
Viviane Sassen,"art by Viviane Sassen",
walker evans,"art by walker evans",
William Klein,"art by William Klein",
Wim Wenders,"art by Wim Wenders",
Yann Arthus-Bertrand,"art by Yann Arthus-Bertrand",
Yigal Ozeri,"art by Yigal Ozeri",
Yousuf Karsh,"art by Yousuf Karsh",
Yves Klein,"art by Yves Klein",
Zena Holloway,"art by Zena Holloway",
