name,prompt,negative_prompt
None,"",
Aaton LTR (Cinema),"shot with Aaton LTR",
ARRI ALEXA 65 (Cinema),"shot with ARRI ALEXA 65",
Bolex H16 (Cinema),"shot with Bolex H16",
Canon EOS 5D (Digital),"shot with Canon EOS 5D",
Diana F+ (Analog),"shot with Diana F+",
Fujifilm X-T4 (Digital),"shot with Fujifilm X-T4",
GoPro Hero (Digital),"shot with GoPro Hero",
Hasselblad 500CM (Analog),"shot with Hasselblad 500CM",
Hasselblad X1D II (Digital),"shot with Hasselblad X1D II",
HOLGA 120n (Analog),"shot with HOLGA 120n",
Kodak Brownie (Analog),"shot with Kodak Brownie",
Kodak Funsaver (Analog),"shot with Kodak Funsaver",
Leica M3 (Analog),"shot with Leica M3",
Leica M6 (Analog),"shot with Leica M6",
Leica T (Digital),"shot with Leica T",
Lumix GH5 (Digital),"shot with Lumix GH5",
Mamiya 7 II (Analog),"shot with Mamiya 7 II",
Nikon D850,"shot with Nikon D850",
Nikon D850,"shot with Nikon D850",
Nikon Z6 II Mirrorless,"shot with Nikon Z6 II Mirrorless",
Nikon Z7 II Mirrorless,"shot with Nikon Z7 II Mirrorless",
Olympus OM-1 (Digital),"shot with Olympus OM-1",
Olympus XA2 (Digital),"Olympus XA2",
Pentax 645Z (Digital),"shot with Pentax 645Z",
Pentax K1000 (Analog),"shot with Pentax K1000",
Plaubel Makina W67 (Analog),"shot with Plaubel Makina W67",
Polaroid SX-70 (Analog),"shot with Polaroid SX-70",
RED Digital Cinema Camera,"shot with RED Digital Cinema Camera",
Rolleiflex (Analog),"shot with Rolleiflex",
Sony A7III (Digital),"shot with Sony A7III",
