name,prompt,negative_prompt
None,"",
Anaglyph 3d Photography,"anaglyph 3d photography",
Bloom Effect,"Bloom Effect",
Bokeh,"Bokeh",
Chromatic Aberration,"chromatic aberration",
Daguerrotype,"Daguerrotype shot",
Defocused,"Defocused",
Depth of field,"Depth of field",
Desaturated Grunge Filter,"desaturated Grunge Filter shot",
Diffraction Spikes Effect,"diffraction spikes",
Double Exposure,"double exposure shot",
Foreshortening effect ,"foreshortening effect ",
Glitch Style,"Glitch Style shot",
Gradient Effect,"gradient effect",
Halftone Effect,"halftone Effect",
High Speed Liquid,"high speed liquid shot",
Hologram Effect,"hologram Effect shot",
Infrared Filter,"infrared Filter shot",
Lens Flare,"Lens Flare",
Lomo Effect,"lomo effect shot",
Long Exposure,"Long Exposure shot",
Medium depth of field,"medium depth of field",
Motion Blur,"Motion Blur",
Multiple Exposure,"Multiple Exposure",
Neutral Density Filters,"Neutral Density Filters shot",
Overexposed,"Overexposed shot",
Selective Color,"Selective Color",
Sepia Tone,"Sepia Tone shot",
Short Exposure,"short exposure shot",
Soft Focus,"Soft Focus shot",
Solarized,"Solarized shot",
Split Tone,"Split Tone",
Technicolor,"Technicolor shot",
Tintype Photography,"Tintype shot",
