name,prompt,negative_prompt
None,"",
Agfa APX 400,"Agfa APX 400",
Agfa Vista,"Agfa Vista",
Agfacolor Pro 200,"Agfacolor Pro 200",
Cinestill 800T,"Cinestill 800T",
Ektar 100,"Ektar 100",
Fine Grain,"fine grain film",
Fujicolor Pro,"Fujicolor Pro",
Fujifilm XT3,"Fujifilm XT3",
Ilford HP5 Plus (B&W),"Ilford HP5 Plus",
Kodak ultra max 800,"Kodak ultra max 800",
Kodak Vision3 IMAX,"Kodak Vision3 IMAX",
Kodak Vision3,"Kodak Vision3",
Lomochrome color film,"Lomochrome color film",
Muted low Grain,"muted low grain film",
Porta 160,"Porta 160",
Prominent Grain,"prominent grain film",
Tri-X 400 (B&W),"Tri-X 400",
Velvia 100,"Velvia 100",
