name,prompt,negative_prompt
None,"",
Beauty Shot,"A beauty Shot",
Bird's Eye View,"Bird's Eye View",
Black and White Portrait,"Black and White Portrait",
Candid Shot,"Candid Shot",
Close-Up,"Close-Up shot",
Double Exposure Portrait,"Double Exposure Portrait",
Environmental Portrait,"Environmental Portrait",
Extreme Close-Up,"Extreme Close-Up shot",
Eye Level,"Eye Level shoting",
Framed Portrait,"Framed Portrait shot",
Frontal,"Frontal shoting",
Full Body Shot,"Full body Shoting",
Group Shot,"Group Shoting",
Head and shoulders portrait,"head and shoulders portrait",
Headshot,"Headshot",
High Angle,"High Angle shoting",
Low Angle,"Low Angle shot",
Medium Close-Up,"Medium Close-Up shoting",
Medium Shot,"Medium shoting",
Narrative Portrait,"Narrative Portrait",
Outdoor Portrait,"Outdoor Portrait",
Over-the-Shoulder,"Over-the-Shoulder shoting",
Pinhole photography,"Pinhole photography",
Profile,"Profile shoting",
Reflection Portrait,"Reflection Portrait",
Shadow Portrait,"Shadow Portrait",
Silhouette,"Silhouette shoting",
Studio Portrait,"Studio Portrait",
Surreal Portrait,"Surreal Portrait",
Three-Quarter View,"Three-Quarter View",
Two-Shot,"Two-Shot",
Waist-up Photography,"A waist-up photography of",
Wide Shot,"Wide Shot",
Worm's Eye View,"Worm's Eye View",
