name,prompt,negative_prompt
None,,
Short, Short hair,
Shoulder length straight, Shoulder length straight hair,
Long straight, Long straight hair,
Very long wave, Very long wave hair,
Wavy, Wavy hair,
Curly Frizzy, Curly Frizzy Hair,
Short curly, Short curly hair
Ringlets, Hair ringlets,
Stacked Curls in Short Bob, Stacked Curls in Short Bob,
Wavy French Bob Vibes from 1920’, Wavy French Bob Vibes from 1920’,
Curly bob, Curly bob,
Bob, Bob haircut,
Blunt bob, Blunt bob,
Bowl cut, bowl cut hair,
Shoulder Length with Bangs, Shoulder Length Hair with Bangs,
Long with bangs, Long hair with bangs,
Updo, Updo hair,
Chignon, Chignon,
Double Bun, Double Bun,
Twintails, Twintails hair,
Twin braids, Twin braids,
Side braid, Side braid,
Fishtail braid, Fishtail braid,
Box braids, Box braids,
Short curly pixie cut, Short curly pixie cut,
Pixie cut, Pixie cut,
Tomboy Cut, Tomboy Cut,
High Ponytail, High Ponytail,
Long ponytail, Long ponytail,
Cornrows Hair, Cornrows Hair,
Dreadlocks, Dreadlocks,
Loose Curly Afro, Loose Curly Afro hair,
Afro, Afro Hair,
Side Part Comb-Over, Side Part Comb-Over Hairstyle With High Fade,
Bushy, Bushy hair,
Cloudy, Cloudy hair,
Crimped, Crimped hair,
Buzz cut, Buzz cut,
Bald, Bald,
Bleached spikes, Bleached spikes,
Spiky hair, Spiky hair,
Mohawk, Mohawk,
French twist, French twist,
Beehive haircut, Beehive haircut,
Pompadour haircut, Pompadour haircut,
Quiff haircut, Quiff haircut,
