name,prompt,negative_prompt
None,"",
Abstract Photography,"An abstract photography of",
Action Photography,"An action photography of",
Analogue Photography,"An analogue photography of",
Artistic Photography,"An artistic photography of",
Astrophotography,"An astrophotography of",
B&W Photography,"A black And White photography of",
Beauty Photography,"A beauty photography of",
Candid Photography,"A candid photography of",
Documentary Photography,"A documentary Photography of",
Dreamy Haze Photography,"A dreamy Haze Photography of",
Erotic Photography,"An erotic photography of",
Glamour Photography,"A glamour Photography of",
Glitch Style Photography,"A glitch Style Photography of",
High Fashion Photography,"A high Fashion Photography of",
Instant Photography,"An instant Photography of",
Large Format Photography,"A large format Photography of",
Lifestyle Photography,"A lifestyle Photography of",
Long Exposure Photography,"A long exposure Photography of",
Macro Photography,"Macro photography of",
Micro Photography,"Micro photography of",
Modernist Photography,"A modernist Photography of",
Paparazzi Photography,"A paparazzi Photography of",
Pictorialist Photography,"Pictorialist Photography",
Pinhole Photography,"A pinhole Photography of",
Polaroid Photography,"A Polaroid Photography of",
Street Fashion Photography,"A street Fashion Photography of",
Surrealist Photography,"A surrealist Photography of",
Underwater Photography,"An underwater photography of",
Vignette Photography,"A vignette Photography of",
X-Ray Photography,"An x-ray photography of",
